actual.vars,Group_Base_Media_Price,Group_Base_MediaBreakDown_Price,Group_BaseBreakDown_MediaBreakDown_Price,Group_Modeller,Group_StackedBar,group,ref_points,agg_method,variable_display,isforecastable,brand/category_a,product/category_b,channel/category_c,platform/category_d,proposition/category_e,creative/category_f
cov_deaths_tot,Base,Base,Covid Total Deaths,Covid Total Deaths,COVID,COVID,none,Sum,Covid Total Deaths,yes,na,na,na,na,na,na
fam_coup_qty_anniv,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_bbag,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_birth,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_comp,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_eartd,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_giftr,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_julb,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_malm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_megaev,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_newm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_sfm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_spec,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_visawel,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_welc,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_wint,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_qty_wkcoup,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tot_qty,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tot_sal,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tot_tick,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tot_trans,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_anniv,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_bbag,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_birth,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_comp,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_eartd,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_giftr,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_julb,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_malm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_megaev,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_newm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_sfm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_spec,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_visawel,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_welc,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_wint,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_totsal_wkcoup,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_anniv,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_bbag,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_birth,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_comp,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_eartd,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_giftr,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_julb,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_malm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_megaev,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_newm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_sfm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_spec,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_visawel,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_welc,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_wint,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_tottick_wkcoup,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_anniv,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_bbag,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_birth,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_comp,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_eartd,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_giftr,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_julb,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_malm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_megaev,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_newm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_sfm,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_spec,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_visawel,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_welc,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_wint,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
fam_coup_trans_wkcoup,Base,Base,Family Coupon,Family Coupon,Family Coupon,Family Coupon,none,Sum,Family Coupon,yes,na,na,na,na,na,na
nat_dis_flood_mich,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_flood_wash,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_flood_wisc,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_high_wind_utah,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_hur_eta,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_hur_hanna_ny,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_hur_isaias_ny,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_hur_laura_tx,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_trop_zeta,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_dis_wint_st_tx,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_earthq_2018alaska,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_earthq_2019california,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_earthq_2019oregon,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_earthq_2020alaska,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_earthq_2020idaho,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_earthq_2020nevada,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_earthq_2020saltlake,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_earthq_2020sparta,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_hurric_dorian,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_hurric_lorenzo,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_hurric_michael,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_tropstorm_bertha,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_tropstorm_cristobal,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_tropstorm_fay,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_wildfires_la,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_wildfires_sanfr,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
nat_disaster_wildfires_tot,Base,Base,Natural Disaster,Natural Disaster,Base,Base,none,Sum,Natural Disaster,yes,na,na,na,na,na,na
fb_pause_1,Base,Base,Facebook Pause,Facebook Pause,Facebook Pause,Facebook Pause,none,Sum,Facebook Pause,yes,na,na,na,na,na,na
fb_pause_2,Base,Base,Facebook Pause,Facebook Pause,Facebook Pause,Facebook Pause,none,Sum,Facebook Pause,yes,na,na,na,na,na,na
fb_pause_3,Base,Base,Facebook Pause,Facebook Pause,Facebook Pause,Facebook Pause,none,Sum,Facebook Pause,yes,na,na,na,na,na,na
coll_fedex_pup_parcel,Base,Base,Services & Collections,Services & Collections,Services & Collections,Services & Collections,none,Sum,Services & Collections,yes,na,na,na,na,na,na
cov_click_col_price,Base,Base,COV C&C Price,COV C&C Price,COVID,COVID,none,Sum,COV C&C Price,yes,na,na,na,na,na,na
dis_del_start,Base,Base,Delivery Start,Delivery Start,Delivery Start,Delivery Start,none,Sum,Delivery Start,yes,na,na,na,na,na,na
dis_pdel_dcr1,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_pdel_inc1,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_pdel_inc2,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_dcr1,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc1,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc10,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc11,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc12,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc13,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc14,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc15,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc2,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc3,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc4,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc5,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc6,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc7,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc8,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_inc9,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
dis_tdel_stat_inc1,Base,Base,Delivery Price Change,Delivery Price Change,Delivery Price Change,Delivery Price Change,none,Sum,Delivery Price Change,yes,na,na,na,na,na,na
osa_reg_tx,Base,Base,OSA,OSA,OSA,OSA,none,Sum,OSA,yes,na,na,na,na,na,na
webdc_m2_start,Base,Base,Web Design Changes,Web Design Changes,Web Design Changes,Web Design Changes,none,Sum,Web Design Changes,yes,na,na,na,na,na,na
sh_firstd,Base,Base,School Holidays,School Holidays,Base,Base,none,Sum,School Holidays Thanksgiving,yes,na,na,na,na,na,na
sh_thnksgiv,Base,Base,School Holidays,School Holidays,Base,Base,none,Sum,School Holidays First Day of School,yes,na,na,na,na,na,na
sh_xmas,Base,Base,School Holidays,School Holidays,Base,Base,none,Sum,School Holidays Christmas,yes,na,na,na,na,na,na
sh_spr,Base,Base,School Holidays,School Holidays,Base,Base,none,Sum,School Holidays Spring break,yes,na,na,na,na,na,na
sh_win,Base,Base,School Holidays,School Holidays,Base,Base,none,Sum,School Holidays Windet,yes,na,na,na,na,na,na
sh_lastd,Base,Base,School Holidays,School Holidays,Base,Base,none,Sum,School Holidays Last Day of School,yes,na,na,na,na,na,na
sh_sum,Base,Base,School Holidays,School Holidays,Base,Base,none,Sum,School Holidays Summer,yes,na,na,na,na,na,na
sh_tot,Base,Base,School Holidays,School Holidays,Base,Base,none,Sum,School Holidays All,yes,na,na,na,na,na,na
c_gt_ama_furn_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_ama_offch_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_ama_table_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_ama_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_ama_bedroom_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_ama_matt_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_ama_wardrobe_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_ash_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_bbb_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_tar_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_wal_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_way_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_c_tot_ratio,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_rooms_mi,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
c_gt_nebra_tx,Base,Base,Competitor,Competitor,Competitor,Competitor,none,Sum,Competitor Google Trends ratio over IKEA,yes,na,na,na,na,na,na
cov_sto_open_tx,Base,Base,Covid Store Re-opening,Covid Store Re-opening,COVID,COVID,none,Sum,Covid Store Re-opening for Texas,yes,na,na,na,na,na,na
cov_sto_open_tx_80dec,Base,Base,Covid Store Re-opening,Covid Store Re-opening,COVID,COVID,none,Sum,Covid Store Re-opening for Texas,yes,na,na,na,na,na,na
covid_gm_retail_TX,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_grocery_TX,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_parks_TX,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_transit_TX,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_work_TX,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_resid_TX,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_retail_DC,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_grocery_DC,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_parks_DC,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_transit_DC,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_work_DC,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_resid_DC,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_retail_SF,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_grocery_SF,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_parks_SF,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_transit_SF,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_work_SF,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_resid_SF,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_retail_CA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_grocery_CA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_parks_CA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_transit_CA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_work_CA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_resid_CA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_retail_LA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_grocery_LA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_parks_LA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_transit_LA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_work_LA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_resid_LA,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_retail_CH,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_grocery_CH,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_parks_CH,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_transit_CH,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_work_CH,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_resid_CH,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
covid_gm_retail_IL,Base,Base,Covid Mobility,Covid Mobility,COVID,COVID,none,Sum,Covid Mobility,yes,na,na,na,na,na,na
